Error: missing newline in C:\Users\user\Documents\VuGen\Scripts\for performance testing\UC03\login.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(248): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Action.c(252): Notify: Transaction "UC03_TR02_Run_test" started.	[MsgId: MMSG-16999]
Action.c(255): web_url("label") started  	[MsgId: MMSG-26355]
Action.c(255): web_url("label") was successful, 48 body bytes, 467 header bytes, 11 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(406): web_url("label") started  	[MsgId: MMSG-26355]
Action.c(406): web_url("label") was successful, 48 body bytes, 467 header bytes, 11 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(416): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(416): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(421): web_url("project") started  	[MsgId: MMSG-26355]
Action.c(421): Error -26377: No match found for the requested parameter "id_test". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 2048 bytes. The total length of the response is 5574 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 5.	[MsgId: MMSG-10545]
Action.c(248): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Action.c(252): Notify: Transaction "UC03_TR02_Run_test" started.	[MsgId: MMSG-16999]
Action.c(255): web_url("label") started  	[MsgId: MMSG-26355]
Action.c(255): web_url("label") was successful, 48 body bytes, 467 header bytes, 11 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(406): web_url("label") started  	[MsgId: MMSG-26355]
Action.c(406): web_url("label") was successful, 48 body bytes, 467 header bytes, 11 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(416): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(416): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(421): web_url("project") started  	[MsgId: MMSG-26355]
Action.c(421): Error -26377: No match found for the requested parameter "id_test". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 2048 bytes. The total length of the response is 5288 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 8.	[MsgId: MMSG-10545]
Action.c(245): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
Action.c(248): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
Action.c(248): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Action.c(252): Notify: Transaction "UC03_TR02_Run_test" started.	[MsgId: MMSG-16999]
Action.c(255): web_url("label") started  	[MsgId: MMSG-26355]
Action.c(255): web_url("label") was successful, 48 body bytes, 467 header bytes, 11 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(271): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(271): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(276): web_url("project") started  	[MsgId: MMSG-26355]
Action.c(276): Error -26377: No match found for the requested parameter "id_test". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 2048 bytes. The total length of the response is 5284 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 5.	[MsgId: MMSG-10545]
Action.c(248): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Action.c(252): Notify: Transaction "UC03_TR02_Run_test" started.	[MsgId: MMSG-16999]
Action.c(255): web_url("label") started  	[MsgId: MMSG-26355]
Action.c(255): web_url("label") was successful, 48 body bytes, 467 header bytes, 11 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(406): web_url("label") started  	[MsgId: MMSG-26355]
Action.c(406): web_url("label") was successful, 48 body bytes, 467 header bytes, 11 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(416): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(416): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(421): web_url("project") started  	[MsgId: MMSG-26355]
Action.c(421): Error -26377: No match found for the requested parameter "id_test". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 2048 bytes. The total length of the response is 5290 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 9.	[MsgId: MMSG-10545]
Action.c(559): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(564): web_custom_request("{id_test}_2") started  	[MsgId: MMSG-26355]
Action.c(564): Downloading resource "https://dev-boomq.pflb.ru/static/media/check.9725c0396328bae9471b624111fc14ca.svg" (specified by argument number 13)  	[MsgId: MMSG-26577]
Action.c(564): web_custom_request("{id_test}_2") was successful, 1163 body bytes, 745 header bytes, 12 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(585): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(585): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(590): web_custom_request("test") started  	[MsgId: MMSG-26355]
Action.c(590): Error -26628: HTTP Status-Code=403 (Forbidden) for "https://dev-boomq.pflb.ru/test-srv/test"  	[MsgId: MERR-26628]
Action.c(590): Error -26377: No match found for the requested parameter "id". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 2048 bytes. The total length of the response is 162 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4.	[MsgId: MMSG-10545]
Action.c(320): Warning -26631: HTTP Status-Code=400 (Bad Request) for "https://dev-boomq.pflb.ru/minio/boomq/boomq/teams/14/projects/25997/v_27000.yaml?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIOSFODNN7EXAMPLE/20240828/us-east-1/s3/aws4_request&X-Amz-Date=20240828T104027Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=b52fcfd0b925bfdb87618036c7c28103cd291f363cd061f08c3f020744da3e80"  	[MsgId: MWAR-26631]
Action.c(320): web_url("downloadLink") highest severity level was "warning", 596 body bytes, 659 header bytes, 12 chunking overhead bytes  	[MsgId: MMSG-26387]
Action.c(332): web_add_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(332): web_add_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(337): web_custom_request("test") started  	[MsgId: MMSG-26355]
Action.c(337): Error -26628: HTTP Status-Code=403 (Forbidden) for "https://dev-boomq.pflb.ru/test-srv/test"  	[MsgId: MERR-26628]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(559): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(564): web_custom_request("{id_test}_2") started  	[MsgId: MMSG-26355]
Action.c(564): Downloading resource "https://dev-boomq.pflb.ru/static/media/check.9725c0396328bae9471b624111fc14ca.svg" (specified by argument number 13)  	[MsgId: MMSG-26577]
Action.c(564): web_custom_request("{id_test}_2") was successful, 1163 body bytes, 745 header bytes, 12 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(585): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(585): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(590): web_custom_request("test") started  	[MsgId: MMSG-26355]
Action.c(590): Error -26628: HTTP Status-Code=403 (Forbidden) for "https://dev-boomq.pflb.ru/test-srv/test"  	[MsgId: MERR-26628]
Action.c(590): Error -26377: No match found for the requested parameter "id". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 2048 bytes. The total length of the response is 162 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


